sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:obsolete_conceptId
A01.0+I39.8,[Invalid parent concept code]Endocarditis in typhoid fever,-1,,2000500102,Lavantautiin liittyvä sydämen sisäkalvon tulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A01.0+G01|WWW|OOO,||,0,APPROVED,EQUAL,PKo,1666794384737,4111401,Endocarditis - typhoid,Condition,MAPS_TO,,TAYS,1623974400000,,
AA06.6+G07,[Invalid parent concept code in other vocabulary]Amoebic abscess of brain,-1,,2000500113,Ameban aiheuttama aivopaise,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A01|WWW|OOO,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304034659,373684,Amebic brain abscess,Condition,MAPS_TO,,TAYS,1623974400000,,
A06.8+N51.2,[Invalid parent vocabulary]Amobeic balanitis,-1,,2000500114,Ameban aiheuttama terskatulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A06|A06.8|N51.2,INVENT|INVENT|ICD10,0,APPROVED,EQUAL,PKo,1669304043541,4173717,Amebic balanitis,Condition,MAPS_TO,,TAYS,1623974400000,,
A17.0+G01,Tuberculous meningitis,-1,,2000500115,Tuberkuloottinen meningiitti,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A17|A17.0|G01,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304049249,441775,Tuberculosis of meninges,Condition,MAPS_TO,,PKo,1666804429398,,
A17.1+G07,Meningeal tuberculoma,-1,,2000500116,Aivokalvojen tuberkulooma,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A17|A17.1|G07,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304054597,440937,Tuberculoma of meninges,Condition,MAPS_TO,,TAYS,1623974400000,,
A17.8+G05.0,Tuberculous meningoencephalitis,-1,,2000500117,Tuberkuloottinen aivokalvo-aivotulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A17|A17.8|G05.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304058088,4150516,Tuberculous meningoencephalitis,Condition,MAPS_TO,,TAYS,1623974400000,,
A17.8+G07,Tuberculoma or tuberculosis of brain or spinal cord,-1,,2000500118,Aivojen tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A17|A17.8|G07,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304403802,4130374,Tuberculosis of brain,Condition,MAPS_TO,07*A17.8 Aivojen tuberkuloosi,PKo,1669288240009,,
A17.8+G63.0,Tuberculous polyneuropathy,-1,,2000500119,Tuberkuloottinen monihermosairaus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A17|A17.8|G63.0,ICD10|ICD10|ICD10,0,APPROVED,EQUIVALENT,PKo,1669563756643,434557,Tuberculosis,Condition,MAPS_TO,,PKo,1669563749083,,
A17.8+G63.0,Tuberculous polyneuropathy,-1,,2000500119,Tuberkuloottinen monihermosairaus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A17|A17.8|G63.0,ICD10|ICD10|ICD10,0,APPROVED,EQUIVALENT,PKo,1669563756643,4174262,Polyneuropathy,Condition,MAPS_TO,,PKo,1669563731393,,
A17.9+G99.8,"Tuberculosis of nervous system, unspecified",-1,,2000500120,Määrittämätön hermoston tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A17|A17.9|G99.8,ICD10|ICD10|ICD10,0.71,APPROVED,WIDER,PKo,1668602277258,376337,Disorder of nervous system,Condition,MAPS_TO,,PKo,1668602253901,,
A17.9+G99.8,"Tuberculosis of nervous system, unspecified",-1,,2000500120,Määrittämätön hermoston tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A17|A17.9|G99.8,ICD10|ICD10|ICD10,0.71,APPROVED,WIDER,PKo,1668602277258,434557,Tuberculosis,Condition,MAPS_TO,,PKo,1668602273822,,
A18.0+H75.0,Tuberculous mastoiditis,-1,,2000500121,Tuberkuloottinen kartiolisäkkeen tulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.0|H75.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304408395,441776,Tuberculosis of mastoid process,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.0+M01.1,Tuberculous arthritis,-1,,2000500122,Tuberkuloottinen nivelinfektio,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.0|M01.1,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304412625,4098475,Tuberculous arthritis,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.0+M49.0,Tuberculosis of spine,-1,,2000500123,Selkärangan tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.0|M49.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304439136,81496,Tuberculosis of vertebral column,Condition,MAPS_TO,,PKo,1666805031604,,
A18.0+M68.0,Tuberculous synovitis,-1,,2000500124,Tuberkuloottinen nivelkalvotulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.0|M68.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304442342,4121541,Tuberculous synovitis,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.0+M90.0,Tuberculosis of bone,-1,,2000500125,Luutuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.0|M90.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304447343,80626,Tuberculosis of bone,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.1+N29.1,Tuberculosis of the kidney or ureter,-1,,2000500126,Tuberkuloosiin liittyvä munuais- tai virtsanjohdinsairaus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.1|N29.1,ICD10|ICD10|ICD10,0,APPROVED,EQUIVALENT,PKo,1669304548199,72817,Tuberculosis of urinary organs,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.1+N33.0,Tuberculous cystitis,-1,,2000500127,Virtsarakon tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.1|N33.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805114546,198674,Tuberculosis of bladder,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.1+N51.0,Tuberculous prostatitis,-1,,2000500128,Tuberkuloottinen eturauhastulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.1|N51.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304582638,4068849,Tuberculosis of prostate,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.1+N51.1,Tuberculosis of epididymis,-1,,2000500129,Kiveksen tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.1|N51.1,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304662132,4224748,Tuberculosis of testis,Condition,MAPS_TO,N51.1*A18.1 Kiveksen tuberkuloosi,TYKS,1623888000000,,
A18.1+N51.8,Tuberculosis of the male genitalia,-1,,2000500130,Miehen sukupuolielinten tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.1|N51.8,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304688446,192818,Tuberculosis of male genital organs,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.1+N74.0,Tuberculous infection of cervix uteri,-1,,2000500131,Kohdunkaulan tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.1|N74.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1669304698054,4266861,Tuberculous cervicitis,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.1+N74.1,Female tuberculous pelvic inflammatory disease,-1,,2000500132,Sisäsynnytinten tuberkuloottinen tulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.1|N74.1,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805269498,4056331,Female tuberculous pelvic inflammatory disease,Condition,MAPS_TO,,TYKS,1623888000000,,
A18.1+N77.0,Tuberculous ulceration of vulva,-1,,2000500133,Tuberkuloosiin liittyvä ulkosynnyttimien haavauma,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.1|N77.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805280556,36713392,Tuberculous ulceration of vulva,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.3+K67.3,Tuberculous peritonitis,-1,,2000500134,Tuberkuloottinen vatsakalvotulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.3|K67.3,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805295548,194268,Tuberculous peritonitis,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.3+K93.0,"Tuberculous disease of the intestines, peritoneum and mesentery glands",-1,,2000500135,"Suoliston, vatsakalvon tai suoliliepeen imusolmukkeiden tuberkuloottinen sairaus",ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.3|K93.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805319069,196019,"Tuberculosis of intestines, peritoneum and mesenteric glands",Condition,MAPS_TO,,TYKS,1623888000000,,
A18.4+H03.1,Lupus vulgaris of eyelid,-1,,2000500136,Silmäluomen lupus vulgaris,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.4|H03.1,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805340779,3655616,Infection of eyelid caused by Mycobacterium tuberculosis,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.5+H19.0,Lupus episcleritis,-1,,2000500137,Tuberkuloottinen episkleriitti,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.5|H19.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805347296,4224176,Tuberculous episcleritis,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.5+H19.2,Keratitis and keratoconjunctivitis (interstitial) in tuberculosis,-1,,2000500138,Tuberkuloosiin liittyvä sarveiskalvotulehdus tai sarveis- ja sidekalvotulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.5|H19.2,ICD10|ICD10|ICD10,0,APPROVED,EQUIVALENT,PKo,1666805634065,4088086,Tuberculous keratoconjunctivitis,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.5+H22.0,Lupus iridocyclitis,-1,,2000500139,Tuberkuloottinen värikalvon ja sädekehän tulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.5|H22.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805642838,46269950,Iridocyclitis due to tuberculosis,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.5+H32.0,Lupus chorioretinitis,-1,,2000500140,Tuberkuloottinen suoni- ja verkkokalvon tulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.5|H32.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805646245,4087293,Tuberculous chorioretinitis,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.6+H67.0,Tuberculous otitis media,-1,,2000500141,Tuberkuloottinen välikorvan tulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.6|H67.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805690264,4311948,Tuberculous otitis media,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.7+E35.1,Tuberculosis of adrenal glands,-1,,2000500142,Lisämunuaistuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.7|E35.1,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805694398,201779,Tuberculosis of adrenal glands,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.8+D77,Tuberculosis of spleen,-1,,2000500143,Pernan tuberkuloosi,ICD10fi Hierarchy,Condition,1998-08-19,2099-12-31,A18|A18.8|D77,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805697461,195176,Tuberculosis of spleen,Condition,MAPS_TO,,TAYS,1623974400000,,
A18.8+E35.0,Tuberculosis of thyroid gland,-1,,2000500144,Kilpirauhasen tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A18|A18.8|E35.0,ICD10|ICD10|ICD10,0,APPROVED,EQUAL,PKo,1666805704364,141777,Tuberculosis of thyroid gland,Condition,MAPS_TO,,TAYS,1623974400000,,
